"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"RG01_CP"	"RG01"	"RG02_CP"	"RG02x01"	"RG02x02"	"TR03_01"	"TR03_01a"	"TR03_02"	"TR03_02a"	"TR03_03"	"TR03_03a"	"TR03_04"	"TR03_04a"	"TR03_05"	"TR03_05a"	"TR03_06"	"TR03_06a"	"TR03_07"	"TR03_07a"	"TR03_08"	"TR03_08a"	"TR03_09"	"TR03_09a"	"TR03_10"	"TR03_10a"	"TR03_11"	"TR03_11a"	"TR03_12"	"TR03_12a"	"TR03_13"	"TR03_13a"	"TR03_14"	"TR03_14a"	"TR03_15"	"TR03_15a"	"TR03_16"	"TR03_16a"	"TR03_17"	"TR03_17a"	"TR03_18"	"TR03_18a"	"TR03_19"	"TR03_19a"	"TR03_20"	"TR03_20a"	"TR03_21"	"TR03_21a"	"TR03_22"	"TR03_22a"	"TR03_23"	"TR03_23a"	"TR03_24"	"TR03_24a"	"TR03_25"	"TR03_25a"	"TR03_26"	"TR03_26a"	"TR03_27"	"TR03_27a"	"TR03_28"	"TR03_28a"	"TR03_29"	"TR03_29a"	"TR03_30"	"TR03_30a"	"TR03_31"	"TR03_31a"	"TR03_32"	"TR03_32a"	"TR03_33"	"TR03_33a"	"TR03_34"	"TR03_34a"	"TR03_35"	"TR03_35a"	"TR03_36"	"TR03_36a"	"TR03_37"	"TR03_37a"	"TR03_38"	"TR03_38a"	"TR03_39"	"TR03_39a"	"TR03_40"	"TR03_40a"	"TR04_01"	"TR04_01a"	"TR04_02"	"TR04_02a"	"TR04_03"	"TR04_03a"	"TR04_04"	"TR04_04a"	"TR04_05"	"TR04_05a"	"TR04_06"	"TR04_06a"	"TR04_07"	"TR04_07a"	"TR04_08"	"TR04_08a"	"TR04_09"	"TR04_09a"	"TR04_10"	"TR04_10a"	"TR04_11"	"TR04_11a"	"TR04_12"	"TR04_12a"	"TR04_13"	"TR04_13a"	"TR04_14"	"TR04_14a"	"TR04_15"	"TR04_15a"	"TR04_16"	"TR04_16a"	"TR04_17"	"TR04_17a"	"TR04_18"	"TR04_18a"	"TR04_19"	"TR04_19a"	"TR04_20"	"TR04_20a"	"TR04_21"	"TR04_21a"	"TR04_22"	"TR04_22a"	"TR04_23"	"TR04_23a"	"TR04_24"	"TR04_24a"	"TR04_25"	"TR04_25a"	"TR04_26"	"TR04_26a"	"TR04_27"	"TR04_27a"	"TR04_28"	"TR04_28a"	"TR04_29"	"TR04_29a"	"TR04_30"	"TR04_30a"	"TR04_31"	"TR04_31a"	"TR04_32"	"TR04_32a"	"TR04_33"	"TR04_33a"	"TR04_34"	"TR04_34a"	"TR04_35"	"TR04_35a"	"TR04_36"	"TR04_36a"	"TR04_37"	"TR04_37a"	"TR04_38"	"TR04_38a"	"TR04_39"	"TR04_39a"	"TR04_40"	"TR04_40a"	"DM06"	"DM02"	"DM03"	"DM05"	"DM07"	"DM07_01"	"DM09_01"	"DM09_02"	"DM09_03"	"DM10"	"DM11_01"	"IV01_RV1"	"IV01_RV2"	"IV01_RV3"	"IV02_01"	"IV02_02"	"IV02_03"	"IV02_04"	"IV04_01"	"IV04_02"	"IV04_03"	"IV04_04"	"IV04_05"	"IV04_06"	"IV04_07"	"IV04_08"	"IV04_09"	"IV04_10"	"IV04_11"	"IV04_12"	"IV04_13"	"IV04_14"	"IV04_15"	"IV04_16"	"IV04_17"	"IV04_18"	"IV04_19"	"IV04_20"	"IV04_21"	"IV04_22"	"IV04_23"	"IV04_24"	"IV04_25"	"IV04_26"	"IV04_27"	"IV04_28"	"IV04_29"	"IV04_30"	"IV04_31"	"IV04_32"	"IV04_33"	"IV04_34"	"IV04_35"	"IV04_36"	"IV04_37"	"IV04_38"	"IV04_39"	"IV04_40"	"IV06_01"	"IV06_02"	"IV06_03"	"IV06_04"	"IV06_05"	"IV06_06"	"IV06_07"	"IV06_08"	"IV06_09"	"IV06_10"	"IV06_11"	"IV06_12"	"IV06_13"	"IV06_14"	"IV06_15"	"IV06_16"	"IV06_17"	"IV06_18"	"IV06_19"	"IV06_20"	"IV06_21"	"IV06_22"	"IV06_23"	"IV06_24"	"IV06_25"	"IV06_26"	"IV06_27"	"IV06_28"	"IV06_29"	"IV06_30"	"IV06_31"	"IV06_32"	"IV06_33"	"IV06_34"	"IV06_35"	"IV06_36"	"IV06_37"	"IV06_38"	"IV06_39"	"IV06_40"	"IV07_01"	"IV07_02"	"IV07_03"	"IV07_04"	"IV07_05"	"IV08_01"	"IV09_01"	"DV01_01"	"DV01_02"	"DV01_03"	"DV01_04"	"DV02"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
430			"base"	"interview"	2022-05-05 10:41:21	147	2	221	2	2																																																																																	1	7264	1	2272	1	4082	1	3386	1	1566	2	2284	2	2240	2	1777	2	2772	1	1367	1	1268	1	2255	1	2093	2	2551	1	2053	1	1258	2	2008	1	2498	1	1142	1	1295	1	1149	2	998	1	1476	2	1352	1	2023	2	1314	2	823	1	975	2	801	2	980	1	1666	1	1636	2	827	1	801	1	1251	2	2391	2	1919	1	1183	1	2644	1	2063	2	7	1	46	1	T	6	9	9	1	"I only got to choose from countries from A to L (Lesotho being the last). I am from Poland."	"5ef4842518648a0472e90ed5"	"62568ea59b5810abee6bd150"	"62738dadbd9221ffa1e19c7c"	"0001001010000000101100000100000101100101"	"1101111110011011011101111011111001001011"	"0001111101111111111111110101110110110000"	"0100000010101010110010001010000110000000"	"4"	"3"	"2"	"1"	"1"	"2"	"2"	"4"	"4"	"1"	"2"	"2"	"4"	"1"	"1"	"4"	"4"	"4"	"3"	"4"	"1"	"4"	"3"	"1"	"2"	"3"	"2"	"3"	"2"	"3"	"3"	"2"	"3"	"2"	"4"	"3"	"3"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"315"	"165"	"135"	"135"	"150"	"4321122441224114443414312323233232433111"	"1.16125"	81	64	13	39	1	38	20	41	7	20	12			107	63	13	31	9	41	115	3	520		2022-05-05 10:50:01	T	F	16	16	0	0	1.21	13
431			"base"	"interview"	2022-05-05 10:41:23	145	1	232	2	1	3	3038	4	2862	1	1058	3	1414	2	1123	4	2475	3	1533	2	1386	1	1468	3	835	2	1062	3	845	2	792	3	812	1	941	2	1162	2	1209	3	712	3	1995	2	1211	3	964	1	861	1	1168	3	934	3	776	2	2439	4	1482	2	1606	3	809	3	951	3	1090	3	1103	1	929	1	1265	2	1529	3	1058	3	914	3	1429	4	1785	1	3297																																																																																	2	31	2	-9	1	T	6	9	9	1		"5e95b5ae0295ea01d7ce532b"	"62568ea59b5810abee6bd150"	"62738daf458e7b04804ee34f"	"1011101111111011111010011100101011001111"	"1111000000100001000101010001001010000000"	"0010111110110101110011011111101111011110"	"0010000000010010010111100001100110000000"	"3"	"4"	"1"	"3"	"2"	"4"	"3"	"2"	"1"	"3"	"2"	"3"	"2"	"3"	"1"	"2"	"2"	"3"	"3"	"2"	"3"	"1"	"1"	"3"	"3"	"2"	"4"	"2"	"3"	"3"	"3"	"3"	"1"	"1"	"2"	"3"	"3"	"3"	"4"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"360"	"195"	"195"	"330"	"120"		"1.195"	61	35	86	47	1	32	6	87	18	28	10	83	91			26	14	13	31	46	4	489		2022-05-05 10:49:32	T	F	16	16	4	2	1.22	21
432			"base"	"interview"	2022-05-05 10:41:24	153	2	256	2	2																																																																																	1	6810	1	8472	1	5526	1	9701	2	6693	2	4918	1	4499	1	3724	1	2468	2	5330	2	1854	2	1306	2	1678	2	1537	2	2201	2	2355	2	2817	2	5048	2	1676	2	6731	2	2983	2	2007	1	2093	1	1391	1	2182	1	1776	1	8358	2	1142	2	837	2	787	2	743	2	956	2	1095	2	785	2	1260	2	1104	2	1126	2	1044	2	1469	2	1041	2	27	1	-9	1	T	6	9	9	1	"The country or residence option seems to be bugged as it is not showing countries beyond the letter L. My residence country is ""Spain"" so I guess it will be needed to be updated manually."	"5cefbe6f1234ed0001970821"	"62568ea59b5810abee6bd150"	"62738db2911a38990fa06245"	"0000110010000110100011010100000000100001"	"1011011101100111110101100011110111011111"	"0101101111111110100100111101111100111101"	"1010100011000011000110100000000010010000"	"4"	"2"	"2"	"1"	"2"	"2"	"1"	"4"	"1"	"1"	"3"	"1"	"3"	"1"	"4"	"2"	"1"	"1"	"2"	"3"	"4"	"4"	"4"	"1"	"3"	"3"	"4"	"3"	"3"	"2"	"4"	"2"	"3"	"2"	"4"	"1"	"4"	"3"	"2"	"3"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"370"	"90"	"45"	"45"	"90"	"4221221411313142112344413343324232414323"	"1.2025"	52	26	61	41	3	59	103	119	35	26	14			143	150	24	45	11	41	195	11	968		2022-05-05 10:57:44	T	F	16	16	2	1	0.65	0
433			"base"	"interview"	2022-05-05 10:41:26	152	1	237	1	2	1	6207	3	5386	3	2354	4	1869	1	4120	2	2317	1	2260	1	1736	1	1546	2	1553	3	1719	4	1925	2	1995	3	1422	1	1449	1	1244	3	1560	3	2064	2	1581	3	1498	1	2165	1	1934	3	2541	4	1567	2	1215	1	1439	1	2057	1	1943	4	1054	3	1528	4	940	4	2181	4	2270	3	1923	4	1375	4	1039	2	3359	1	1917	2	1541	3	1372																																																																																	2	11	1	99	1	T	6	9	9	1		"6139235a349e8f868518bcd9"	"62568ea59b5810abee6bd150"	"62738db2de3fd8a0556d58f9"	"0000011010000000110010000110100100001001"	"1011111100111011100111101111101011010011"	"1010000000010000000111000001001010001011"	"1110111101101100010001101111111111100111"	"1"	"3"	"3"	"4"	"1"	"2"	"1"	"1"	"1"	"2"	"3"	"4"	"2"	"3"	"1"	"1"	"3"	"3"	"2"	"3"	"1"	"1"	"3"	"4"	"2"	"1"	"1"	"1"	"4"	"3"	"4"	"4"	"4"	"3"	"4"	"4"	"2"	"1"	"2"	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"315"	"225"	"180"	"285"	"195"		"1.16125"	101	23	63	10	1	54	29	56	15	25	13	150	167			22	86	13	31	76	7	693		2022-05-05 10:53:50	T	F	16	16	2	1	0.79	1
435			"base"	"interview"	2022-05-05 10:41:28	158	1	253	1	2	3	5584	2	7690	2	4642	1	2318	4	1866	3	5823	3	2570	3	3303	3	3204	3	2713	3	1771	3	2144	3	1622	3	2070	3	2207	1	1398	1	1918	1	2093	1	1961	2	1760	2	2055	2	1591	4	1303	4	1771	4	2639	3	2098	3	1561	2	1753	2	1337	1	1716	1	1623	1	1683	3	1224	3	1618	1	1384	3	1435	4	1567	4	1578	4	1994	3	1717																																																																																	2	24	2	99	1	T	6	9	9	1	"great study."	"6166ad56031d3607ffce86f4"	"62568ea59b5810abee6bd150"	"62738db52f447235c1f04a20"	"0010000100100001000100001101001100000011"	"1010111010111101110001111101111111010101"	"0000000111000100000010100101000110001100"	"1111001011100010110101110111111110111101"	"3"	"2"	"2"	"1"	"4"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"4"	"4"	"4"	"3"	"3"	"2"	"2"	"1"	"1"	"1"	"3"	"3"	"1"	"3"	"4"	"4"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"240"	"180"	"180"	"450"	"150"		"1.105"	48	61	54	43	1	114	17	94	22	39	22	128	143			34	27	20	36	97	6	719		2022-05-05 10:54:48	T	F	16	16	0	0	0.72	3
436			"base"	"interview"	2022-05-05 10:41:28	150	1	229	2	2	1	4905	3	5826	3	3678	2	2432	1	3181	4	1348	4	1268	2	1944	2	2583	3	1123	4	890	1	758	1	715	1	1045	1	790	1	719	1	1220	3	991	1	656	2	773	1	1631	2	914	3	706	1	1332	3	813	2	767	4	803	2	1045	1	1336	3	1779	1	1330	2	1000	1	742	1	992	3	783	2	863	2	827	1	752	3	754	1	1446																																																																																	2	7	1	99	1	T	6	9	9	1		"61154503002b93af22a9353d"	"62568ea59b5810abee6bd150"	"62738db5a2cdc257a4ecd5f7"	"1110100000000100100010010000001001000101"	"1101101001111111010111011111100111011010"	"1011101001111111110110010101011111100111"	"0000000110010000001100000100110101010001"	"1"	"3"	"3"	"2"	"1"	"4"	"4"	"2"	"2"	"3"	"4"	"1"	"1"	"1"	"1"	"1"	"1"	"3"	"1"	"2"	"1"	"2"	"3"	"1"	"3"	"2"	"4"	"2"	"1"	"3"	"1"	"2"	"1"	"1"	"3"	"2"	"2"	"1"	"3"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"330"	"225"	"240"	"120"		"1.13875"	79	63	38	7	1	39	38	48	13	15	15	89	103			24	23	12	60	29	3	511		2022-05-05 10:50:00	T	F	16	16	2	1	1.08	9
437			"base"	"interview"	2022-05-05 10:41:28	144	1	205	1	1	4	4183	2	11195	2	5984	3	4255	4	2245	4	1162	1	1942	3	1668	3	1925	2	3926	2	5348	1	1709	4	3889	1	4177	2	3253	3	3859	4	1295	2	2473	2	5050	1	2547	4	1426	4	1613	3	1076	3	5178	4	1190	4	1185	3	1613	1	2293	3	6656	4	1805	3	175466	2	1343	1	1552	4	1903	2	1392	2	3379	1	1905	3	1492	1	1027	3	1215																																																																																	2	17	1	-9	1	T	6	9	9	1	"My country of residence is not on the list, is this on purrpose?
"	"615a4296dec3e39982b66d76"	"62568ea59b5810abee6bd150"	"62738db4b393bac75ce31566"	"0011111011111010001111101011110111001111"	"0000000000000111010010111100000000100110"	"1110000001100100100001000000000100110100"	"1110011110111001111111110101110110010110"	"4"	"2"	"2"	"3"	"4"	"4"	"1"	"3"	"3"	"2"	"2"	"1"	"4"	"1"	"2"	"3"	"4"	"2"	"2"	"1"	"4"	"4"	"3"	"3"	"4"	"4"	"3"	"1"	"3"	"4"	"3"	"2"	"1"	"4"	"2"	"2"	"1"	"3"	"1"	"3"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"360"	"210"	"195"	"225"	"210"		"1.195"	31	77	46	84	4	21	13	12	14	28	22	328	199			12	42	12	46	68	5	589		2022-05-05 10:55:11	T	F	16	16	2	1	1.09	21
438			"base"	"interview"	2022-05-05 10:41:33	146	2	240	2	1																																																																																	1	5537	1	2316	1	7210	1	1904	1	6629	2	1411	2	1817	2	1723	2	1335	1	1886	2	1447	2	1973	2	1906	2	1695	2	1546	2	2612	1	1252	1	2579	2	1847	2	1422	2	2621	2	1445	2	1657	1	1380	2	1487	2	1459	2	1278	2	1414	2	2112	2	1239	1	1387	2	1658	2	1409	2	1515	1	2809	2	1750	1	4976	1	5030	2	1679	2	1642	2	7	1	84	1	T	3	6	7	1		"5cab2dc17cad090013633139"	"62568ea59b5810abee6bd150"	"62738dab8ce4604b67a86f65"	"1001010011111100111011110111011110111110"	"1100000010010100000000100001001100101010"	"1111100101011111110011110011101110011101"	"0001001101000101010010100101000000100000"	"4"	"3"	"2"	"1"	"2"	"1"	"3"	"4"	"4"	"2"	"1"	"3"	"3"	"3"	"4"	"1"	"2"	"2"	"4"	"3"	"1"	"3"	"1"	"2"	"3"	"1"	"1"	"4"	"4"	"1"	"2"	"1"	"3"	"4"	"2"	"4"	"2"	"2"	"4"	"3"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"405"	"30"	"165"	"30"	"30"	"4321213442133341224313123114412134242243"	"1.22875"	27	85	14	4	2	22	102	32	3	14	9			116	71	15	21	5	20	18	2	450		2022-05-05 10:49:03	T	F	16	16	2	1	1.69	46
439			"base"	"interview"	2022-05-05 10:41:33	148	2	215	2	2																																																																																	1	5887	1	3717	1	6319	1	2727	2	2921	2	3496	1	5087	1	2597	1	2047	1	1914	1	1976	1	1524	1	2462	1	2790	2	1775	1	3513	1	4064	2	2516	1	2894	2	3774	1	2436	2	1856	1	2575	1	2410	2	2090	1	2544	1	2274	1	2081	1	4317	1	1572	2	3369	1	1973	1	2481	1	3460	1	2610	1	2424	1	3587	1	1748	1	1597	1	2849	2	50	1	9	1	T	6	9	9	1	"Yes - The list of countries or residence above stopped at Lesotho. I live in New Zealand and chose Australia as teh closest available country."	"5f7becc19ffec41eeb3afdd4"	"62568ea59b5810abee6bd150"	"62738da5269da21ae3831a3f"	"0000010000011000000011011100010010000110"	"1101101110100101011111100011011011111111"	"1010110111101101111100111011010101111011"	"1010101000100010100000000100110000110000"	"4"	"3"	"3"	"4"	"3"	"3"	"3"	"2"	"2"	"2"	"2"	"2"	"2"	"4"	"4"	"1"	"2"	"3"	"1"	"3"	"1"	"3"	"1"	"2"	"3"	"4"	"1"	"4"	"1"	"4"	"3"	"1"	"1"	"4"	"2"	"2"	"1"	"4"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"380"	"180"	"165"	"90"	"225"	"4334333222222441231313123414143114221414"	"1.21"	61	74	11	72	2	25	20	34	10	16	14			150	103	16	45	19	29	97	3	581		2022-05-05 10:51:16	T	F	16	16	0	0	1.09	8
441			"base"	"interview"	2022-05-05 10:41:35	150	2	229	1	1																																																																																	1	5514	1	2262	1	2558	2	2381	1	3823	1	1710	1	1862	2	6076	1	1743	1	1725	2	2877	2	2341	1	1621	2	307	1	2286	2	3720	1	1465	2	1965	1	1273	2	2985	2	1469	2	1427	1	1307	2	1560	2	1324	2	2906	1	1740	1	2077	1	1273	2	1333	1	2323	2	1549	2	1361	2	937	2	1641	2	1591	1	3999	2	3485	2	1602	1	1941	2	9	2	4	1	T	6	9	9	1		"5cd4996707cf630017c911aa"	"62568ea59b5810abee6bd150"	"62738dbda9f5af027104e8b7"	"1111011010000011101111110010111110111111"	"0000110001001001100000010000001001001110"	"0001100100000100100000001011101000100001"	"0111110110111110100111111010111011010110"	"1"	"3"	"3"	"1"	"4"	"3"	"3"	"1"	"4"	"3"	"3"	"3"	"4"	"2"	"1"	"1"	"2"	"3"	"2"	"4"	"2"	"1"	"2"	"2"	"1"	"2"	"4"	"4"	"3"	"1"	"4"	"2"	"1"	"2"	"2"	"1"	"4"	"4"	"3"	"4"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"375"	"60"	"75"	"105"	"165"	"1331433143334211232421221244314212214434"	"1.20625"	1	35	61	81	4	29	30	63	9	13	11			114	103	16	44	5	25	45	2	509		2022-05-05 10:50:04	T	F	16	16	2	1	1.29	16
442			"base"	"interview"	2022-05-05 10:41:35	156	1	247	1	1	3	5264	1	7468	4	2737	3	4335	2	3930	1	23522	4	5056	3	3959	1	4598	1	9276	2	1564	4	10552	2	3535	3	1932	1	4182	3	2065	1	5264	4	4094	2	3267	3	1867	1	9791	4	2094	3	2280	2	2272	1	5463	4	3006	3	2512	3	1647	4	2087	1	3762	3	4318	2	4602	4	6938	1	10585	3	27485	2	3275	4	8355	2	4449	1	5528	4	1534																																																																																	2	6	2	46	1	T	6	9	9	1		"60fbd6e536d60cbad293b196"	"62568ea59b5810abee6bd150"	"62738d5b94513707c53e072d"	"1010111001111110011111111111011001100011"	"0100000010000001001100001100000011011010"	"1100000000101010100000001000001111010000"	"1111001110000101111111110100111111010111"	"3"	"1"	"4"	"3"	"2"	"1"	"4"	"3"	"1"	"1"	"2"	"4"	"2"	"3"	"1"	"3"	"1"	"4"	"2"	"3"	"1"	"4"	"3"	"2"	"1"	"4"	"3"	"3"	"4"	"1"	"3"	"2"	"4"	"1"	"3"	"2"	"4"	"2"	"1"	"4"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"375"	"255"	"180"	"210"	"180"		"1.20625"	74	6	101	6	3	87	41	24	6	44	18	245	210			19	42	11	40	72	5	597		2022-05-05 10:56:01	T	F	16	16	2	1	0.93	10
443			"base"	"interview"	2022-05-05 10:41:35	153	1	258	2	1	1	4179	2	4832	4	6608	3	5385	2	2165	4	1506	3	1524	2	1571	1	1602	4	996	4	1071	4	1045	2	1223	1	1433	4	1298	3	1283	2	3361	1	2056	4	926	1	1905	2	1646	3	1203	4	1000	1	959	2	1063	3	941	2	1250	4	878	3	1073	1	1456	2	1335	3	1045	3	1120	4	908	1	1153	2	1037	4	1007	3	1164	1	1481	4	2520																																																																																	2	6	2	99	1	T	6	9	9	1		"610082307c84af3669658f99"	"62568ea59b5810abee6bd150"	"62738d9808c7a629b01d1324"	"0111100001111101011111101111110100011111"	"0001000001101111000000101000001000001010"	"1100111011111011111111111001100110011100"	"0010011001000110100000011000001100100000"	"1"	"2"	"4"	"3"	"2"	"4"	"3"	"2"	"1"	"4"	"4"	"4"	"2"	"1"	"4"	"3"	"2"	"1"	"4"	"1"	"2"	"3"	"4"	"1"	"2"	"3"	"2"	"4"	"3"	"1"	"2"	"3"	"3"	"4"	"1"	"2"	"4"	"3"	"1"	"4"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"300"	"240"	"195"	"165"	"300"		"1.15"	21	81	51	61	2	47	75	179	15	24	18	108	107			22	73	15	28	60	3	654		2022-05-05 10:54:31	T	F	16	16	2	1	0.79	1
444			"base"	"interview"	2022-05-05 10:41:36	157	2	260	2	2																																																																																	1	8028	1	4466	1	7653	2	3847	2	9087	1	6696	2	10092	1	3870	2	3176	1	2443	2	4387	1	5970	1	3244	2	2629	1	4097	1	3230	2	2506	2	3766	2	2574	1	3010	2	5929	1	3679	1	2228	1	2118	1	3264	1	2671	2	3928	2	2808	1	2536	1	2439	1	6482	2	2217	1	5627	1	11709	1	5705	1	2667	1	1756	2	3782	2	7596	1	2293	2	8	2	-9	1	T	5	7	7	1		"6169dcd164c76e47a9d7a740"	"62568ea59b5810abee6bd150"	"62738dbc833d010018d6a5f7"	"1000000100000100101110001011000000000011"	"1111101011001100111111101111111001110100"	"0001001101011111101111101011101111101111"	"0100010000100100010000101010010010010001"	"1"	"2"	"4"	"4"	"4"	"4"	"4"	"1"	"1"	"1"	"4"	"1"	"3"	"1"	"3"	"1"	"3"	"2"	"4"	"2"	"3"	"2"	"3"	"2"	"3"	"2"	"4"	"2"	"4"	"3"	"1"	"4"	"2"	"1"	"1"	"3"	"2"	"3"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"330"	"165"	"165"	"165"	"75"	"1244444111413131324232323242431421132332"	"1.1725"	75	51	92	20	3	99	55	142	20	27	44			216	303	24	146	18	31	77	10	802		2022-05-05 11:01:51	T	F	16	16	4	2	0.56	0
445			"base"	"interview"	2022-05-05 10:41:36	147	1	241	1	2	2	8306	2	1390	3	5894	4	1404	1	1067	2	4498	3	4945	4	968	1	817	2	2131	1	712	1	553	2	1210	1	542	1	5641	2	1027	3	530	4	361	1	1385	2	547	1	5315	2	980	1	867	1	496	1	864	1	657	1	1264	1	804	1	832	1	1291	1	928	1	576	1	1966	1	1202	1	1386	2	1570	1	2218	3	1254	4	594	1	1770																																																																																	2	5	2	68	1	T	6	9	9	1		"5efdffee8ce2d329c512ae83"	"62568ea59b5810abee6bd150"	"62738dbd1c5967c66259be10"	"0100000100100010001000010101110000000101"	"0111010111101101011111011110110010101111"	"1011110000000000011000010110001000010000"	"1000111011110110101110111110111111101100"	"2"	"2"	"3"	"4"	"1"	"2"	"3"	"4"	"1"	"2"	"1"	"1"	"2"	"1"	"1"	"2"	"3"	"4"	"1"	"2"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"3"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"285"	"465"	"225"	"105"	"120"		"1.13875"	61	41	31	1	1	21	58	65	12	21	24	105	92			13	55	12	35	19	2	534		2022-05-05 10:50:30	T	F	16	16	2	1	1.14	15
